Invoice List by Date,,,,,,,,
The Controls Company,,,,,,,,
"April, 2020-December, 2025",,,,,,,,

Date,Transaction type,Num,Name,Location full name,Memo,Due date,Amount,Open balance
10/21/2020,Invoice,2,Engineered Cooling Services:Autozone (deleted),,,10/21/2020,"3,131.94",0.00
10/26/2020,Invoice,3,Engineered Cooling Services:Autozone (deleted),,,10/26/2020,"2,400.00",0.00
11/18/2020,Invoice,4,Engineered Cooling Services:Autozone (deleted),,,11/18/2020,"2,400.00",0.00
12/15/2020,Invoice,5,Engineered Cooling Services:Autozone (deleted),,,12/15/2020,"2,400.00",0.00
01/12/2021,Invoice,8,Engineered Cooling Services:Autozone (deleted),,,01/12/2021,"1,200.00",0.00
01/25/2021,Invoice,001,Johnson Controls:Gulf County Schools,,,02/24/2021,"18,600.00",0.00
01/26/2021,Invoice,002,Johnson Controls:West Florida FSER,,4869874,02/25/2021,"10,000.00",0.00
02/23/2021,Invoice,003,Johnson Controls:Gulf County Schools,,,03/25/2021,"9,300.00",0.00
02/23/2021,Invoice,J007,Johnson Controls:West Florida Penthouse,,,03/25/2021,"10,000.00",0.00
03/10/2021,Invoice,J003,Johnson Controls:Gulf County Schools,,,04/09/2021,"9,300.00",0.00
03/10/2021,Invoice,J001,Johnson Controls:Airbus Programming,,,04/09/2021,"3,597.00",0.00
03/15/2021,Invoice,9,Engineered Cooling Services:Autozone (deleted),,,04/14/2021,"2,400.00",0.00
03/18/2021,Invoice,J005,Johnson Controls:West Florida Penthouse,,4857750,04/17/2021,"5,000.00",0.00
03/18/2021,Invoice,S003,Siemens Industry:Orange Beach School Auditorium,,,04/17/2021,"7,100.00",0.00
03/19/2021,Invoice,S002,Siemens Industry:Orange Beach School Auditorium,,,04/18/2021,"6,000.00",0.00
03/29/2021,Invoice,J008,Johnson Controls:Airbus Programming,,,04/28/2021,"5,001.00",0.00
04/19/2021,Invoice,S004,Siemens Industry:Orange Beach School Auditorium,,,05/19/2021,"2,676.00",0.00
04/19/2021,Invoice,J009,Johnson Controls:Gulf County Schools,,,05/19/2021,"9,300.00",0.00
04/26/2021,Invoice,S005,Siemens Industry:Fairhope High School,,,05/26/2021,"3,500.00",0.00
04/29/2021,Invoice,J011,Johnson Controls:West Florida FSER,,,05/29/2021,"5,000.00",0.00
05/03/2021,Invoice,S007,Siemens Industry:Hobbs Middle School,,,06/02/2021,"2,500.00",0.00
05/21/2021,Invoice,S006,Siemens Industry:Fairhope High School,,,06/20/2021,"4,000.00",0.00
05/26/2021,Invoice,J012,Johnson Controls:West Florida FSER,,,06/25/2021,"5,000.00",0.00
05/26/2021,Invoice,J013,Johnson Controls:West Florida Penthouse,,,06/25/2021,"5,000.00",0.00
05/30/2021,Invoice,J014,Johnson Controls:Gulf County Schools,,,06/29/2021,"18,500.00",0.00
05/30/2021,Invoice,J015,Johnson Controls:West Florida FSER,,,06/29/2021,"5,556.00",0.00
06/21/2021,Invoice,S009,Siemens Industry:Hobbs Middle School,,,07/21/2021,"4,500.00",0.00
06/21/2021,Invoice,S010,Siemens Industry:Fairhope High School,,,07/21/2021,"3,000.00",0.00
06/21/2021,Invoice,S008,Siemens Industry:Daphne Middle School,,Daphne,07/21/2021,"2,000.00",0.00
06/30/2021,Invoice,J010,Johnson Controls:Airbus Programming,,,07/30/2021,"4,290.00",0.00
07/20/2021,Invoice,S013,Siemens Industry:Stonebridge Elementary,,HOBBS,08/19/2021,"4,000.00",0.00
07/20/2021,Invoice,S011,Siemens Industry:Fairhope High School,,FAIRHOPE,08/19/2021,"5,500.00",0.00
07/20/2021,Invoice,S012,Siemens Industry:Hobbs Middle School,,HOBBS,08/19/2021,"6,500.00",0.00
07/29/2021,Invoice,S014,.,,,08/28/2021,"2,000.00",0.00
08/01/2021,Invoice,dummy,.,,VOID: Opening balance,08/01/2021,0.00,0.00
08/23/2021,Invoice,S015,Siemens Industry:Hobbs Middle School,,,09/22/2021,"20,770.00",0.00
08/23/2021,Invoice,S017,.,,,09/22/2021,"4,000.00",0.00
09/05/2021,Invoice,S016,Siemens Industry:Fairhope High School,,,10/05/2021,"2,000.00",0.00
09/10/2021,Invoice,J017,Johnson Controls:GCRMC Patients Choice,,,10/10/2021,"15,000.00",0.00
09/20/2021,Invoice,S018,Siemens Industry:Daphne Middle School,,,10/20/2021,"2,000.00",0.00
09/20/2021,Invoice,S019,.,,,10/20/2021,"4,500.00",0.00
09/20/2021,Invoice,S020,Siemens Industry:Daphne Middle School,,,10/20/2021,"3,000.00",0.00
09/20/2021,Invoice,S021,Siemens Industry:Stonebridge Elementary,,,10/20/2021,"5,000.00",0.00
09/20/2021,Invoice,J018,Johnson Controls:FWB Hospital,,,10/20/2021,"50,000.00",0.00
09/20/2021,Invoice,J019,Johnson Controls:GCRMC Patients Choice,,,10/20/2021,"10,000.00",0.00
09/28/2021,Invoice,J016,Johnson Controls:FWB Hospital,,,10/28/2021,"25,000.00",0.00
10/10/2021,Invoice,J020,Johnson Controls:FWB Hospital,,,11/09/2021,"5,000.00",0.00
10/22/2021,Invoice,J021,Johnson Controls:West Florida 2nd Floor Surgery,,,11/21/2021,"10,000.00",0.00
10/22/2021,Invoice,J022,Johnson Controls:GCRMC Patients Choice,,"4911559  975.52 owed in retainage
Paid in full (I missed a received payment on this)",11/21/2021,"9,752.00",0.00
10/22/2021,Invoice,S022,Siemens Industry:J. Larry Newton (deleted),,,11/21/2021,"3,500.00",0.00
10/22/2021,Invoice,S023,Siemens Industry:Stonebridge Elementary,,,11/21/2021,"3,000.00",0.00
10/22/2021,Invoice,S024,Siemens Industry:Daphne Middle School,,,11/21/2021,"2,500.00",0.00
11/16/2021,Invoice,J023,Johnson Controls:Airbus Programming,,J022,12/16/2021,"1,716.00",0.00
11/18/2021,Invoice,E010,Engineered Cooling Services,,,12/18/2021,"2,400.00",0.00
11/29/2021,Invoice,J026,Johnson Controls:FWB Hospital,,"Billed 5000, 250 retainage, 60.58 in fees",12/29/2021,"5,000.00",0.00
12/06/2021,Invoice,J024,Johnson Controls:West Florida 2nd Floor Surgery,,,01/05/2022,"7,626.00",0.00
12/06/2021,Invoice,J025,Johnson Controls:Keesler Labor,,,01/05/2022,"3,000.00",0.00
12/10/2021,Invoice,S025,Siemens Industry:Stonebridge Elementary,,,01/09/2022,"3,200.00",0.00
12/20/2021,Invoice,J027,Johnson Controls:OWA,,"1,500 Retainage owed 12/31/23",01/19/2022,"30,000.00",0.00
12/20/2021,Invoice,J028,Johnson Controls:FWB Hospital,,,01/19/2022,"5,000.00",0.00
12/20/2021,Invoice,J029,Johnson Controls:Forrest General Programming,,,01/19/2022,"4,500.00",0.00
12/20/2021,Invoice,J030,Johnson Controls:Keesler Labor,,,01/19/2022,"1,500.00",0.00
12/29/2021,Invoice,S026,Siemens Industry:Daphne Middle School,,,01/28/2022,"3,000.00",0.00
12/29/2021,Invoice,S029,Siemens Industry:NAS Corry,,,01/28/2022,"1,935.00",0.00
12/29/2021,Invoice,S027,Siemens Industry:Stonebridge Elementary,,,01/28/2022,"3,000.00",0.00
01/21/2022,Invoice,E013,Engineered Cooling Services,,,02/20/2022,"2,400.00",0.00
01/21/2022,Invoice,S028,Siemens Industry:Milton High School,,,02/20/2022,750.00,0.00
01/21/2022,Invoice,S030,Siemens Industry:Stonebridge Elementary,,,02/20/2022,"3,500.00",0.00
01/21/2022,Invoice,S032,Siemens Industry:Pace K-8,,,02/20/2022,"3,600.00",0.00
01/21/2022,Invoice,S033,Siemens Industry:Fairhope West,,,02/20/2022,"1,500.00",0.00
01/21/2022,Invoice,J031,Johnson Controls:FWB Hospital,,,02/20/2022,"5,000.00",0.00
02/01/2022,Invoice,E014,Engineered Cooling Services,,,03/03/2022,"2,400.00",0.00
02/09/2022,Invoice,S031,Siemens Industry:Stonebridge Elementary,,,03/11/2022,"3,500.00",0.00
03/02/2022,Invoice,E016,Engineered Cooling Services,,,04/01/2022,"2,400.00",0.00
03/03/2022,Invoice,J032,Johnson Controls:FWB Hospital,,,04/02/2022,"10,000.00",0.00
03/03/2022,Invoice,J033,Johnson Controls:OWA,,500 unpaid retainage 12/31/23,04/02/2022,"10,000.00",0.00
03/03/2022,Invoice,J037,Johnson Controls:Portico,,,04/02/2022,"7,163.00",0.00
03/09/2022,Invoice,S034,Siemens Industry:Spanish Fort Elementary,,,04/08/2022,"4,000.00",0.00
03/09/2022,Invoice,J036,Johnson Controls:Keesler NDI Lab Submittal (deleted),,,04/08/2022,"1,500.00",0.00
03/09/2022,Invoice,S039,Siemens Industry:Spanish Fort Elementary,,,04/08/2022,"2,000.00",0.00
03/11/2022,Invoice,S035,Siemens Industry:Stonebridge Elementary,,,04/10/2022,"10,000.00",0.00
03/11/2022,Invoice,S036,Siemens Industry:Daphne Middle School,,,04/10/2022,"9,027.00",0.00
03/11/2022,Invoice,S033,Siemens Industry:Pace K-8,,,04/10/2022,"5,000.00",0.00
03/11/2022,Invoice,J034,Johnson Controls:Ms Museum of Natural Science (deleted),,,04/10/2022,"1,500.00",0.00
03/14/2022,Invoice,E017,Engineered Cooling Services,,,04/13/2022,"2,400.00",0.00
03/28/2022,Invoice,J041,Johnson Controls:Keesler Chiller Replacement (deleted),,,04/27/2022,"1,500.00",0.00
04/13/2022,Invoice,J039,Johnson Controls:FWB Hospital,,,05/13/2022,"1,500.00",0.00
04/13/2022,Invoice,J038,Johnson Controls:OWA,,1500 unpaid retainage 12/31/23,05/13/2022,"30,000.00",0.00
04/13/2022,Invoice,J040,Johnson Controls:OWA,,250 unpaid retainage 12/31/2023,05/13/2022,"5,000.00",0.00
04/13/2022,Invoice,J035,Johnson Controls:Keesler Visitors Center (deleted),,,05/13/2022,"1,500.00",0.00
04/13/2022,Invoice,J39,Johnson Controls:FWB Hospital,,,05/13/2022,"15,000.00",0.00
04/13/2022,Invoice,S041,Siemens Industry:Stonebridge Elementary,,,05/13/2022,"10,000.00",0.00
04/13/2022,Invoice,S038,Siemens Industry:Daphne Middle School,,,05/13/2022,"2,000.00",0.00
04/13/2022,Invoice,S037,Siemens Industry:Maritime 2nd Floor Reno,,,05/13/2022,"1,875.00",0.00
04/13/2022,Invoice,S040,Siemens Industry:Pace K-8,,,05/13/2022,"5,000.00",0.00
04/13/2022,Invoice,S042,Siemens Industry:Merchants Plaza (deleted),,,05/13/2022,"1,500.00",0.00
04/21/2022,Invoice,E018,Engineered Cooling Services,,,05/21/2022,"4,800.00",0.00
05/09/2022,Invoice,J042,Johnson Controls:OWA,,,06/08/2022,"28,500.00",0.00
05/09/2022,Invoice,J043,Johnson Controls:Portico,,10% retainage and 144.48 in fees,06/08/2022,"7,018.52",0.00
05/12/2022,Invoice,S001,Florida Department of Health in Santa Ros (deleted),,,05/12/2022,850.00,0.00
05/12/2022,Invoice,S044,Siemens Industry:Stonebridge Elementary,,,06/11/2022,"25,000.00",0.00
06/01/2022,Invoice,S045,Siemens Industry:Spanish Fort Elementary,,,07/01/2022,"1,500.00",0.00
06/01/2022,Invoice,S046,Siemens Industry:Pace K-8,,,07/01/2022,"1,500.00",0.00
06/06/2022,Invoice,J049,Johnson Controls:FWB Hospital,,,07/06/2022,"30,000.00",0.00
06/06/2022,Invoice,J048,Johnson Controls:Portico,,725 unpaid in retainage 12/31/2023,07/06/2022,"14,500.00",0.00
06/08/2022,Invoice,J046,Johnson Controls:Portico,,725 unpaid retainage 12/31/2023,07/08/2022,"14,500.00",0.00
06/08/2022,Invoice,J045,Johnson Controls:OWA,,387.65 unpaid retainage 12/31/2023,07/08/2022,"7,750.00",0.00
06/08/2022,Invoice,J044,Johnson Controls:FWB Hospital,,,07/08/2022,"10,000.00",0.00
06/08/2022,Invoice,J047,Johnson Controls:OWA,,4928745 916 unpaid retainage 12/31/2023,07/08/2022,"18,320.00",0.00
06/15/2022,Invoice,S047,Siemens Industry:Stonebridge Elementary,,,07/15/2022,"12,000.00",0.00
06/15/2022,Invoice,S049,Siemens Industry:Spanish Fort Elementary,,,07/15/2022,"1,500.00",0.00
06/15/2022,Invoice,S048,Siemens Industry:Pace K-8,,,07/15/2022,"2,000.00",0.00
06/15/2022,Invoice,S050,Siemens Industry:Hobbs Phase 2,,,07/15/2022,"2,000.00",0.00
06/16/2022,Invoice,S043,Siemens Industry:Stonebridge Elementary,,,07/16/2022,"5,000.00",0.00
06/22/2022,Invoice,S051,Siemens Industry:UWF Bldg 18,,,07/22/2022,"4,500.00",0.00
07/25/2022,Invoice,S051,Siemens Industry:Stonebridge Elementary,,,08/24/2022,"20,000.00",0.00
07/25/2022,Invoice,S052,Siemens Industry:Pace K-8,,,08/24/2022,"2,500.00",0.00
07/25/2022,Invoice,S054,Siemens Industry:Orange Beach Elementary,,,08/24/2022,"1,200.00",0.00
07/25/2022,Invoice,S053,Siemens Industry:Elberta High School,,,08/24/2022,"2,800.00",0.00
08/08/2022,Invoice,J051,Johnson Controls:FWB Hospital,,,09/07/2022,"4,743.00",0.00
08/08/2022,Invoice,J052,Johnson Controls:OWA,,,09/07/2022,"2,591.00",0.00
08/08/2022,Invoice,J053,Johnson Controls:Portico,,,09/07/2022,"10,000.00",0.00
08/08/2022,Invoice,T001,Trane U.S. Inc.:Project Titan,,,08/08/2022,"10,000.00",0.00
08/12/2022,Invoice,T002,Trane U.S. Inc.:Eglin Cyberspace,,,09/11/2022,"10,000.00",0.00
08/18/2022,Invoice,J050,Johnson Controls:RSA Maintenance (deleted),,,09/17/2022,"6,000.00",0.00
09/12/2022,Invoice,J054,Johnson Controls:Portico,,500 retainage unpaid 12/31/23,10/12/2022,"9,500.00",0.00
09/14/2022,Invoice,S061,Siemens Industry:Elberta High School,,,10/14/2022,"1,200.00",0.00
09/14/2022,Invoice,S063,Siemens Industry:Hobbs Phase 2,,,10/14/2022,"14,000.00",0.00
09/14/2022,Invoice,S059,Siemens Industry:Pace K-8,,,10/14/2022,"3,500.00",0.00
09/14/2022,Invoice,S058,Siemens Industry:Spanish Fort Elementary,,,10/14/2022,"3,000.00",0.00
09/14/2022,Invoice,S057,Siemens Industry:Pace K-8,,,10/14/2022,"4,500.00",0.00
09/14/2022,Invoice,S055,Siemens Industry:NAS Sally repairs,,,10/14/2022,"4,500.00",0.00
09/14/2022,Invoice,S062,Siemens Industry:NAS Sally repairs,,,10/14/2022,"2,558.00",0.00
09/14/2022,Invoice,S056,Siemens Industry:Stonebridge Elementary,,,10/14/2022,"5,895.00",0.00
09/19/2022,Invoice,J055,Johnson Controls:GCMC Breakfast Point,,,10/19/2022,"6,459.00",0.00
09/19/2022,Invoice,J056,Johnson Controls:Portico,,250 unpaid in retainage 12/31/23,10/19/2022,"5,000.00",0.00
09/21/2022,Invoice,J057/T003,Trane U.S. Inc.:MSU Humphreys (deleted),,,10/21/2022,"4,500.00",0.00
09/21/2022,Invoice,T004,Trane U.S. Inc.:Project Titan,,,10/21/2022,"70,000.00",0.00
09/21/2022,Invoice,T005,Trane U.S. Inc.:Eglin Cyberspace,,,10/21/2022,"10,000.00",0.00
09/27/2022,Invoice,J057,Johnson Controls:Perdido FSER,,,10/27/2022,"3,222.00",0.00
10/26/2022,Invoice,S064,Siemens Industry:Hobbs Phase 2,,,11/25/2022,"2,000.00",0.00
11/07/2022,Invoice,T006,Trane U.S. Inc.:Project Titan,,,12/07/2022,"22,451.00",0.00
