control_panel,source_visio_page,trunk_name,trunk_type,child_device,location,notes
CP-10,CP-10 AHU-11 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 11-11,STAFF LOBBY 01.13.12,
CP-10,CP-10 AHU-11 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 11-7,STAFF LOBBY 01.13.12,
CP-10,CP-10 AHU-11 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 11-9,MENS EVENT STAFF LOCKERS 01.14.17,
CP-10,CP-10 AHU-11 (1 of 2),MS/TP Trunk-1,MS/TP,EVAV 11-8,MENS EVENT STAFF LOCKERS 01.14.17,
CP-10,CP-10 AHU-11 (1 of 2),MS/TP Trunk-1,MS/TP,EVAV 11-16,STAFF LOBBY 01.13.12,Additional location ref: STAFF LOUNGE 01.12.15
CP-10,CP-10 AHU-11 (1 of 2),MS/TP Trunk-1,MS/TP,EVAV 11-7,STAFF LOUNGE 01.12.15,
CP-10,CP-10 AHU-11 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 11-10,,
CP-10,CP-10 AHU-11 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 11-3,TREATMENT 01.15.04,
CP-10,CP-10 AHU-11 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 11-4,HOME TEAM CORRIDOR 01.15.06A,Additional location ref: HOME TEAM CORRIDOR 01.15.06A
CP-10,CP-10 AHU-11 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 11-6,HEAD COACH 01.12.05,
CP-10,CP-10 AHU-11 (1 of 2),MS/TP Trunk-1,MS/TP,EVAV 11-3,,
CP-10,CP-10 AHU-11 (1 of 2),MS/TP Trunk-1,MS/TP,EVAV 11-2,HOME TEAM ENTRY 01.15.06,
CP-10,CP-10 AHU-11 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 11-1,STICK/SKATE WORK ROOM 01.14.02,
CP-10,CP-10 AHU-11 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 11-2,HOME TEAM CORRIDOR 01.15.06A,
CP-10,CP-10 AHU-11 (1 of 2),MS/TP Trunk-1,MS/TP,VAV 11-13,,
