control_panel,pdf_page,pdf_area,trunk_name,trunk_type,child_device,source_note
CP-12,5,Second/Third Floor Areas D/A/B/C,MS/TP Trunk-1,MS/TP,AHU-13 SF-VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-12,5,Second/Third Floor Areas D/A/B/C,MS/TP Trunk-1,MS/TP,KEF-4,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-12,5,Second/Third Floor Areas D/A/B/C,MS/TP Trunk-1,MS/TP,KEF-7,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-12,5,Second/Third Floor Areas D/A/B/C,MS/TP Trunk-1,MS/TP,KEF-8,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-12,5,Second/Third Floor Areas D/A/B/C,MS/TP Trunk-1,MS/TP,SEF-8-VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-12,5,Second/Third Floor Areas D/A/B/C,MS/TP Trunk-1,MS/TP,SEF-9-VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-12,5,Second/Third Floor Areas D/A/B/C,MS/TP Trunk-1,MS/TP,SEF-10-VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-12,5,Second/Third Floor Areas D/A/B/C,MS/TP Trunk-1,MS/TP,SEF-11-VFD,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-12,5,Second/Third Floor Areas D/A/B/C,MS/TP Trunk-1,MS/TP,FCU 3.1,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-12,5,Second/Third Floor Areas D/A/B/C,MS/TP Trunk-1,MS/TP,FCU 3.2,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-12,5,Second/Third Floor Areas D/A/B/C,MS/TP Trunk-1,MS/TP,FCU 3.3,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-12,5,Second/Third Floor Areas D/A/B/C,MS/TP Trunk-1,MS/TP,FCU 3.4,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-12,5,Second/Third Floor Areas D/A/B/C,MS/TP Trunk-1,MS/TP,FCU 3.5,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-12,5,Second/Third Floor Areas D/A/B/C,MS/TP Trunk-1,MS/TP,FCU 3.6,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
CP-12,5,Second/Third Floor Areas D/A/B/C,MS/TP Trunk-1,MS/TP,FCU 3.7,Directly transcribed from the customer PDF. Unclear labels were omitted instead of inferred.
