source_short_name,label,candidate_ontology_ids,selected_ontology_id,confidence,mapped,notes
RF-C,RF-C,[],,0.12,false,unmapped source point
MAD-O,MAD-O,[],,0.12,false,unmapped source point
RF-S,RF-S,[],,0.12,false,unmapped source point
RF-O,RF-O,[],,0.12,false,unmapped source point
RAPLO-A,RAPLO-A,[],,0.12,false,unmapped source point
RA-SD,RA-SD,[],,0.12,false,unmapped source point
RA-T,RA-T,[],,0.12,false,unmapped source point
RAT-SP,RAT-SP,[],,0.12,false,unmapped source point
RA-H,RA-H,[],,0.12,false,unmapped source point
RAH-SP,RAH-SP,[],,0.12,false,unmapped source point
RA-P,RA-P,[],,0.12,false,unmapped source point
RAP-SP,RAP-SP,[],,0.12,false,unmapped source point
MOAD-S,MOAD-S,[],,0.12,false,unmapped source point
MOAD-C,MOAD-C,[],,0.12,false,unmapped source point
GEF-C,GEF-C,[],,0.12,false,unmapped source point
GEF-S,GEF-S,[],,0.12,false,unmapped source point
PFILT-S,PFILT-S,[],,0.12,false,unmapped source point
MA-T,MA-T,[],,0.12,false,unmapped source point
PH-O,PH-O,[],,0.12,false,unmapped source point
PH-POS,PH-POS,[],,0.12,false,unmapped source point
PH-T,PH-T,[],,0.12,false,unmapped source point
CLG-O,CLG-O,[],,0.12,false,unmapped source point
CLG-POS,CLG-POS,[],,0.12,false,unmapped source point
CC-T,CC-T,[],,0.12,false,unmapped source point
RH-O,RH-O,[],,0.12,false,unmapped source point
RH-POS,RH-POS,[],,0.12,false,unmapped source point
RHC-T,RHC-T,[],,0.12,false,unmapped source point
DAPHI-A,DAPHI-A,[],,0.12,false,unmapped source point
FFILT-S,FFILT-S,[],,0.12,false,unmapped source point
DA-SD,DA-SD,[],,0.12,false,unmapped source point
DA-T,DA-T,[],,0.12,false,unmapped source point
DAT-SP,DAT-SP,[],,0.12,false,unmapped source point
CLG7-C,CLG7-C,[],,0.12,false,unmapped source point
CLG8-C,CLG8-C,[],,0.12,false,unmapped source point
CLG6-C,CLG6-C,[],,0.12,false,unmapped source point
CLG5-C,CLG5-C,[],,0.12,false,unmapped source point
CLG4-C,CLG4-C,[],,0.12,false,unmapped source point
CLG3-C,CLG3-C,[],,0.12,false,unmapped source point
CLG2-C,CLG2-C,[],,0.12,false,unmapped source point
CLG1-C,CLG1-C,[],,0.12,false,unmapped source point
RH1-C,RH1-C,[],,0.12,false,unmapped source point
RH2-C,RH2-C,[],,0.12,false,unmapped source point
RH3-C,RH3-C,[],,0.12,false,unmapped source point
RH4-C,RH4-C,[],,0.12,false,unmapped source point
RH6-C,RH6-C,[],,0.12,false,unmapped source point
RH7-C,RH7-C,[],,0.12,false,unmapped source point
RH8-C,RH8-C,[],,0.12,false,unmapped source point
RH5-C,RH5-C,[],,0.12,false,unmapped source point
RA-F,RA-F,[],,0.12,false,unmapped source point
MOA-F,MOA-F,[],,0.12,false,unmapped source point
PH1-C,PH1-C,[],,0.12,false,unmapped source point
PH2-C,PH2-C,[],,0.12,false,unmapped source point
PH3-C,PH3-C,[],,0.12,false,unmapped source point
PH4-C,PH4-C,[],,0.12,false,unmapped source point
PH5-C,PH5-C,[],,0.12,false,unmapped source point
PH6-C,PH6-C,[],,0.12,false,unmapped source point
PH7-C,PH7-C,[],,0.12,false,unmapped source point
PH8-C,PH8-C,[],,0.12,false,unmapped source point
OA-F,OA-F,[],,0.12,false,unmapped source point
PHWL-T,PHWL-T,[],,0.12,false,unmapped source point
PHWE-T,PHWE-T,[],,0.12,false,unmapped source point
CCWL-T,CCWL-T,[],,0.12,false,unmapped source point
CCWE-T,CCWE-T,[],,0.12,false,unmapped source point
RHWL-T,RHWL-T,[],,0.12,false,unmapped source point
RHWE-T,RHWE-T,[],,0.12,false,unmapped source point
DA1-P,DA1-P,[],,0.12,false,unmapped source point
DAP-SP,DAP-SP,[],,0.12,false,unmapped source point
SF-S,SF-S,[],,0.12,false,unmapped source point
SF-C,SF-C,[],,0.12,false,unmapped source point
SF-O,SF-O,[],,0.12,false,unmapped source point
LT-A,LT-A,[],,0.12,false,unmapped source point
MAD-O,MAD-O,[],,0.12,false,unmapped source point
OA-F,OA-F,[],,0.12,false,unmapped source point
MOAD-S,MOAD-S,[],,0.12,false,unmapped source point
MOAD-C,MOAD-C,[],,0.12,false,unmapped source point
MOA-F,MOA-F,[],,0.12,false,unmapped source point
MA-T,MA-T,[],,0.12,false,unmapped source point
PH1-C,PH1-C,[],,0.12,false,unmapped source point
PH2-C,PH2-C,[],,0.12,false,unmapped source point
PH3-C,PH3-C,[],,0.12,false,unmapped source point
PH4-C,PH4-C,[],,0.12,false,unmapped source point
PH5-C,PH5-C,[],,0.12,false,unmapped source point
PH6-C,PH6-C,[],,0.12,false,unmapped source point
PH7-C,PH7-C,[],,0.12,false,unmapped source point
PH8-C,PH8-C,[],,0.12,false,unmapped source point
PH-T,PH-T,[],,0.12,false,unmapped source point
LT-A,LT-A,[],,0.12,false,unmapped source point
CLG1-C,CLG1-C,[],,0.12,false,unmapped source point
CLG2-C,CLG2-C,[],,0.12,false,unmapped source point
CLG3-C,CLG3-C,[],,0.12,false,unmapped source point
CLG4-C,CLG4-C,[],,0.12,false,unmapped source point
CLG5-C,CLG5-C,[],,0.12,false,unmapped source point
CLG6-C,CLG6-C,[],,0.12,false,unmapped source point
CLG7-C,CLG7-C,[],,0.12,false,unmapped source point
CLG8-C,CLG8-C,[],,0.12,false,unmapped source point
RH1-C,RH1-C,[],,0.12,false,unmapped source point
RH2-C,RH2-C,[],,0.12,false,unmapped source point
RH3-C,RH3-C,[],,0.12,false,unmapped source point
RH4-C,RH4-C,[],,0.12,false,unmapped source point
RH5-C,RH5-C,[],,0.12,false,unmapped source point
RH6-C,RH6-C,[],,0.12,false,unmapped source point
RH7-C,RH7-C,[],,0.12,false,unmapped source point
RH8-C,RH8-C,[],,0.12,false,unmapped source point
CC-T,CC-T,[],,0.12,false,unmapped source point
RHC-T,RHC-T,[],,0.12,false,unmapped source point
PH-O,PH-O,[],,0.12,false,unmapped source point
PH-POS,PH-POS,[],,0.12,false,unmapped source point
CLG-POS,CLG-POS,[],,0.12,false,unmapped source point
CLG-O,CLG-O,[],,0.12,false,unmapped source point
RAPLO-A,RAPLO-A,[],,0.12,false,unmapped source point
RA-SD,RA-SD,[],,0.12,false,unmapped source point
FFILT-S,FFILT-S,[],,0.12,false,unmapped source point
RA-F,RA-F,[],,0.12,false,unmapped source point
DA-SD,DA-SD,[],,0.12,false,unmapped source point
DA-T,DA-T,[],,0.12,false,unmapped source point
DAT-SP,DAT-SP,[],,0.12,false,unmapped source point
DA1-P,DA1-P,[],,0.12,false,unmapped source point
DAP-SP,DAP-SP,[],,0.12,false,unmapped source point
DAPHI-A,DAPHI-A,[],,0.12,false,unmapped source point
PHWE-T,PHWE-T,[],,0.12,false,unmapped source point
PHWL-T,PHWL-T,[],,0.12,false,unmapped source point
CCWL-T,CCWL-T,[],,0.12,false,unmapped source point
CCWE-T,CCWE-T,[],,0.12,false,unmapped source point
RHWL-T,RHWL-T,[],,0.12,false,unmapped source point
RHWE-T,RHWE-T,[],,0.12,false,unmapped source point
RH-O,RH-O,[],,0.12,false,unmapped source point
RH-POS,RH-POS,[],,0.12,false,unmapped source point
PFILT-S,PFILT-S,[],,0.12,false,unmapped source point
RF-S,RF-S,[],,0.12,false,unmapped source point
RF-C,RF-C,[],,0.12,false,unmapped source point
RF-O,RF-O,[],,0.12,false,unmapped source point
SF-S,SF-S,[],,0.12,false,unmapped source point
SF-C,SF-C,[],,0.12,false,unmapped source point
SF-O,SF-O,[],,0.12,false,unmapped source point
