source_short_name,label,svg_group_id,candidate_ontology_id,candidate_ontology_ids,x,y,width,height,source_attributes,confidence,notes
RF-C,RF-C,svg_122_6,,[],424.0000043947204,83.37038383948254,,,"{""data-filter"":""RF-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_122_6""}",0.12,no canonical ontology alias match found
MAD-O,MAD-O,svg_102_6,,[],145.08064880666842,486.2654959533893,,,"{""data-filter"":""MAD-O"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_102_6""}",0.12,no canonical ontology alias match found
RF-S,RF-S,svg_116_6,,[],424.0000043947204,138.37038383948254,,,"{""data-filter"":""RF-S"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_116_6""}",0.12,no canonical ontology alias match found
RF-O,RF-O,svg_170_6,,[],424.0000043947204,28.370383839482542,,,"{""data-filter"":""RF-O"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_170_6""}",0.12,no canonical ontology alias match found
RAPLO-A,RAPLO-A,svg_197_6,,[],878.0178580317242,235.31158725944857,,,"{""data-filter"":""RAPLO-A"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_197_6""}",0.12,no canonical ontology alias match found
RA-SD,RA-SD,svg_251_6,,[],1005.6255272018909,267.0050629213846,,,"{""data-filter"":""RA-SD"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_251_6""}",0.12,no canonical ontology alias match found
RA-T,RA-T,svg_266_6,,[],1139.5020875680643,254.59637013775534,,,"{""data-filter"":""RA-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_266_6""}",0.12,no canonical ontology alias match found
RAT-SP,RAT-SP,svg_328_6,,[],1139.5020875680643,199.59637013775534,,,"{""data-filter"":""RAT-SP"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_328_6""}",0.12,no canonical ontology alias match found
RA-H,RA-H,svg_331_6,,[],1139.5020875680643,144.59637013775534,,,"{""data-filter"":""RA-H"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_331_6""}",0.12,no canonical ontology alias match found
RAH-SP,RAH-SP,svg_337_6,,[],1139.5020875680643,89.59637013775534,,,"{""data-filter"":""RAH-SP"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_337_6""}",0.12,no canonical ontology alias match found
RA-P,RA-P,svg_348_6,,[],1292.059343093953,268.1390268691372,,,"{""data-filter"":""RA-P"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_348_6""}",0.12,no canonical ontology alias match found
RAP-SP,RAP-SP,svg_352_6,,[],1292.059343093953,213.13902686913718,,,"{""data-filter"":""RAP-SP"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_352_6""}",0.12,no canonical ontology alias match found
MOAD-S,MOAD-S,svg_354_6,,[],131.7701000243198,657.6932845909678,,,"{""data-filter"":""MOAD-S"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_354_6""}",0.12,no canonical ontology alias match found
MOAD-C,MOAD-C,svg_357_6,,[],131.7701000243198,602.6932845909678,,,"{""data-filter"":""MOAD-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_357_6""}",0.12,no canonical ontology alias match found
GEF-C,GEF-C,svg_374_6,,[],170.45876709520905,778.2430028845212,,,"{""data-filter"":""GEF-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_374_6""}",0.12,no canonical ontology alias match found
GEF-S,GEF-S,svg_391_6,,[],170.45876709520905,833.2430028845212,,,"{""data-filter"":""GEF-S"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_391_6""}",0.12,no canonical ontology alias match found
PFILT-S,PFILT-S,svg_32_6,,[],527.8421604053408,511.1895118809797,,,"{""data-filter"":""PFILT-S"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_32_6""}",0.12,no canonical ontology alias match found
MA-T,MA-T,svg_272_6,,[],600.6440447875093,496.32378372104404,,,"{""data-filter"":""MA-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_272_6""}",0.12,no canonical ontology alias match found
PH-O,PH-O,svg_368_6,,[],658.761027009485,519.8776464156647,,,"{""data-filter"":""PH-O"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_368_6""}",0.12,no canonical ontology alias match found
PH-POS,PH-POS,svg_370_6,,[],658.761027009485,464.8776464156647,,,"{""data-filter"":""PH-POS"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_370_6""}",0.12,no canonical ontology alias match found
PH-T,PH-T,svg_384_6,,[],770.2620772224568,507.6671758265488,,,"{""data-filter"":""PH-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_384_6""}",0.12,no canonical ontology alias match found
CLG-O,CLG-O,svg_120_6,,[],938.953774621873,538.3739383277557,,,"{""data-filter"":""CLG-O"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_120_6""}",0.12,no canonical ontology alias match found
CLG-POS,CLG-POS,svg_132_6,,[],938.953774621873,483.3739383277557,,,"{""data-filter"":""CLG-POS"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_132_6""}",0.12,no canonical ontology alias match found
CC-T,CC-T,svg_194_6,,[],1046.3544885596243,526.8338600637389,,,"{""data-filter"":""CC-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_194_6""}",0.12,no canonical ontology alias match found
RH-O,RH-O,svg_204_6,,[],1115.768034634923,550.2408593120001,,,"{""data-filter"":""RH-O"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_204_6""}",0.12,no canonical ontology alias match found
RH-POS,RH-POS,svg_208_6,,[],1115.768034634923,495.2408593120001,,,"{""data-filter"":""RH-POS"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_208_6""}",0.12,no canonical ontology alias match found
RHC-T,RHC-T,svg_227_6,,[],1046.3544885596243,526.8338600637389,,,"{""data-filter"":""RHC-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_227_6""}",0.12,no canonical ontology alias match found
DAPHI-A,DAPHI-A,svg_394_6,,[],1337.541701796983,541.8418306860099,,,"{""data-filter"":""DAPHI-A"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_394_6""}",0.12,no canonical ontology alias match found
FFILT-S,FFILT-S,svg_443_6,,[],1429.7991879283375,571.4143622680599,,,"{""data-filter"":""FFILT-S"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_443_6""}",0.12,no canonical ontology alias match found
DA-SD,DA-SD,svg_445_6,,[],1499.3684058720658,576.3936431036527,,,"{""data-filter"":""DA-SD"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_445_6""}",0.12,no canonical ontology alias match found
DA-T,DA-T,svg_449_6,,[],1560.6164494212405,560.9154790042044,,,"{""data-filter"":""DA-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_449_6""}",0.12,no canonical ontology alias match found
