source_short_name,ontology_id,candidate_ontology_ids,label,label_group_ids,value_group_ids,device_group_ids,image_selectors,fallback_selectors,related_node_ids,visibility_mode,confidence,notes
RF-C,,[],RF-C,"[""svg_122_6""]",[],"[""svg_122_6""]","[""image[href*=\""RF-C\""]"",""image[xlink\\:href*=\""RF-C\""]"",""image[href*=\""RF-C\""]""]","[""g[data-filter=\""RF-C\""]"",""[short-name=\""RF-C\""]"",""[sname=\""RF-C\""]"",""[data-shortname=\""RF-C\""]"",""[data-point-short-name=\""RF-C\""]"",""[data-filter*=\""RF-C\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RF-C'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RF-C\\\""\""]""]","[""svg_122_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
MAD-O,,[],MAD-O,"[""svg_102_6""]",[],"[""svg_102_6""]","[""image[href*=\""MAD-O\""]"",""image[xlink\\:href*=\""MAD-O\""]"",""image[href*=\""MAD-O\""]""]","[""g[data-filter=\""MAD-O\""]"",""[short-name=\""MAD-O\""]"",""[sname=\""MAD-O\""]"",""[data-shortname=\""MAD-O\""]"",""[data-point-short-name=\""MAD-O\""]"",""[data-filter*=\""MAD-O\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'MAD-O'\""]"",""use[key-data-attr*=\""pointShortName:\\\""MAD-O\\\""\""]""]","[""svg_102_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RF-S,,[],RF-S,"[""svg_116_6""]",[],"[""svg_116_6""]","[""image[href*=\""RF-S\""]"",""image[xlink\\:href*=\""RF-S\""]"",""image[href*=\""RF-S\""]""]","[""g[data-filter=\""RF-S\""]"",""[short-name=\""RF-S\""]"",""[sname=\""RF-S\""]"",""[data-shortname=\""RF-S\""]"",""[data-point-short-name=\""RF-S\""]"",""[data-filter*=\""RF-S\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RF-S'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RF-S\\\""\""]""]","[""svg_116_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RF-O,,[],RF-O,"[""svg_170_6""]",[],"[""svg_170_6""]","[""image[href*=\""RF-O\""]"",""image[xlink\\:href*=\""RF-O\""]"",""image[href*=\""RF-O\""]""]","[""g[data-filter=\""RF-O\""]"",""[short-name=\""RF-O\""]"",""[sname=\""RF-O\""]"",""[data-shortname=\""RF-O\""]"",""[data-point-short-name=\""RF-O\""]"",""[data-filter*=\""RF-O\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RF-O'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RF-O\\\""\""]""]","[""svg_170_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RAPLO-A,,[],RAPLO-A,"[""svg_197_6""]",[],"[""svg_197_6""]","[""image[href*=\""RAPLO-A\""]"",""image[xlink\\:href*=\""RAPLO-A\""]"",""image[href*=\""RAPLO-A\""]""]","[""g[data-filter=\""RAPLO-A\""]"",""[short-name=\""RAPLO-A\""]"",""[sname=\""RAPLO-A\""]"",""[data-shortname=\""RAPLO-A\""]"",""[data-point-short-name=\""RAPLO-A\""]"",""[data-filter*=\""RAPLO-A\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RAPLO-A'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RAPLO-A\\\""\""]""]","[""svg_197_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RA-SD,,[],RA-SD,"[""svg_251_6""]",[],"[""svg_251_6""]","[""image[href*=\""RA-SD\""]"",""image[xlink\\:href*=\""RA-SD\""]"",""image[href*=\""RA-SD\""]""]","[""g[data-filter=\""RA-SD\""]"",""[short-name=\""RA-SD\""]"",""[sname=\""RA-SD\""]"",""[data-shortname=\""RA-SD\""]"",""[data-point-short-name=\""RA-SD\""]"",""[data-filter*=\""RA-SD\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RA-SD'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RA-SD\\\""\""]""]","[""svg_251_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RA-T,,[],RA-T,"[""svg_266_6""]",[],"[""svg_266_6""]","[""image[href*=\""RA-T\""]"",""image[xlink\\:href*=\""RA-T\""]"",""image[href*=\""RA-T\""]""]","[""g[data-filter=\""RA-T\""]"",""[short-name=\""RA-T\""]"",""[sname=\""RA-T\""]"",""[data-shortname=\""RA-T\""]"",""[data-point-short-name=\""RA-T\""]"",""[data-filter*=\""RA-T\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RA-T'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RA-T\\\""\""]""]","[""svg_266_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RAT-SP,,[],RAT-SP,"[""svg_328_6""]",[],"[""svg_328_6""]","[""image[href*=\""RAT-SP\""]"",""image[xlink\\:href*=\""RAT-SP\""]"",""image[href*=\""RAT-SP\""]""]","[""g[data-filter=\""RAT-SP\""]"",""[short-name=\""RAT-SP\""]"",""[sname=\""RAT-SP\""]"",""[data-shortname=\""RAT-SP\""]"",""[data-point-short-name=\""RAT-SP\""]"",""[data-filter*=\""RAT-SP\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RAT-SP'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RAT-SP\\\""\""]""]","[""svg_328_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RA-H,,[],RA-H,"[""svg_331_6""]",[],"[""svg_331_6""]","[""image[href*=\""RA-H\""]"",""image[xlink\\:href*=\""RA-H\""]"",""image[href*=\""RA-H\""]""]","[""g[data-filter=\""RA-H\""]"",""[short-name=\""RA-H\""]"",""[sname=\""RA-H\""]"",""[data-shortname=\""RA-H\""]"",""[data-point-short-name=\""RA-H\""]"",""[data-filter*=\""RA-H\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RA-H'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RA-H\\\""\""]""]","[""svg_331_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
RAH-SP,,[],RAH-SP,"[""svg_337_6""]",[],"[""svg_337_6""]","[""image[href*=\""RAH-SP\""]"",""image[xlink\\:href*=\""RAH-SP\""]"",""image[href*=\""RAH-SP\""]""]","[""g[data-filter=\""RAH-SP\""]"",""[short-name=\""RAH-SP\""]"",""[sname=\""RAH-SP\""]"",""[data-shortname=\""RAH-SP\""]"",""[data-point-short-name=\""RAH-SP\""]"",""[data-filter*=\""RAH-SP\""]"",""[class*=\""bas-floor-graphics-display-point\""]"",""[class*=\""graphics-point-label\""]"",""[class*=\""graphics-point-value\""]"",""[class*=\""graphics-point-notfound\""]"",""use[key-data-attr*=\""pointShortName':'RAH-SP'\""]"",""use[key-data-attr*=\""pointShortName:\\\""RAH-SP\\\""\""]""]","[""svg_337_6""]",hide_when_unselected,0.12,generated from template point record; ontology mapping unresolved
